lesson,type,promptEN,promptTE,A,B,C,D,correct,feedbackEN,feedbackTE
1,mcq,Which is a subject pronoun?,వీటిలో ఏది సబ్జెక్ట్ ప్రోనౌన్?,Me,Us,I,Them,C,I' is a subject pronoun  used when the person is performing the action (e.g.  I speak). 'Me'  'Us'  and 'Them' are object pronouns.,I' అనేది ఒక సబ్జెక్ట్ ప్రోనౌన్  ఇది వ్యక్తి చర్యను చేస్తున్నప్పుడు ఉపయోగించబడుతుంది (ఉదా.  నేను మాట్లాడతాను). 'Me'  మరియు 'Them' ఆబ్జెక్ట్ ప్రోనౌన్‌లు.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,Me go to the store.,I go to the store.,Us go to the store.,Them go to the store.,B,The subject of the sentence is performing the action 'go'  so the subject pronoun 'I' is correct.,వాక్యం యొక్క సబ్జెక్ట్ 'go' అనే చర్యను చేస్తోంది  కాబట్టి 'I' అనే సబ్జెక్ట్ ప్రోనౌన్ సరైనది.
1,mcq,Can you help _?,మీరు _ కు సహాయం చేయగలరా?,we,I,us,he,C,us' is the correct object pronoun to receive the action 'help'.,us' అనేది 'help' అనే చర్యను స్వీకరించడానికి సరైన ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,_ is my brother.,_ నా సోదరుడు.,Him,He,His,Himself,B,He' is the subject pronoun used to start the sentence and perform the action (in this case 'is').,He' అనేది వాక్యాన్ని ప్రారంభించడానికి మరియు చర్యను (ఈ సందర్భంలో 'is') చేయడానికి ఉపయోగించే సబ్జెక్ట్ ప్రోనౌన్.
1,mcq,I told _ a story.,నేను _ కి ఒక కథ చెప్పాను.,she,her,hers,herself,B,her' is the object pronoun that receives the action 'told'.,her' అనేది 'told' అనే చర్యను స్వీకరించే ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,My father works with _.,మా నాన్న _ తో కలిసి పనిచేస్తారు.,he,him,his,I,B,him' is the object pronoun used after a preposition like 'with'.,him' అనేది 'with' వంటి ప్రిపోజిషన్ తర్వాత ఉపయోగించే ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,_ are playing outside.,_ బయట ఆడుకుంటున్నారు.,Them,They,Their,Themselves,B,They' is the subject pronoun used for multiple people performing the action.,They' అనేది చర్యను చేస్తున్న బహుళ వ్యక్తుల కోసం ఉపయోగించే సబ్జెక్ట్ ప్రోనౌన్.
1,mcq,Please give the keys to _.,దయచేసి తాళాలను _ కి ఇవ్వండి.,they,them,their,theirs,B,them' is the object pronoun that receives the keys (object of the preposition 'to').,them' అనేది తాళాలను స్వీకరించే ఆబ్జెక్ట్ ప్రోనౌన్ ('to' అనే ప్రిపోజిషన్ యొక్క ఆబ్జెక్ట్).
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,Her is a doctor.,She is a doctor.,Hers is a doctor.,She's is a doctor.,B,She' is the subject pronoun needed to be the subject of the verb 'is'.,is' అనే క్రియకు సబ్జెక్ట్‌గా 'She' అనే సబ్జెక్ట్ ప్రోనౌన్ అవసరం.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,I know they.,I know their.,I know them.,I know theirs.,C,them' is the object pronoun needed because it receives the action 'know'.,know' అనే చర్యను స్వీకరిస్తున్నందున 'them' అనే ఆబ్జెక్ట్ ప్రోనౌన్ అవసరం.
1,mcq,Which pronoun can be both subject and object?,ఏ ప్రోనౌన్ సబ్జెక్ట్ మరియు ఆబ్జెక్ట్ రెండూ కావచ్చు?,I,He,You,She,C,You' is the subject in 'You are tall' and the object in 'I see you'.,You are tall' లో 'You' సబ్జెక్ట్ మరియు 'I see you' లో ఆబ్జెక్ట్.
1,mcq,Which pronoun can be both subject and object?,ఏ ప్రోనౌన్ సబ్జెక్ట్ మరియు ఆబ్జెక్ట్ రెండూ కావచ్చు?,It,He,She,They,A,It' is the subject in 'It is cold' and the object in 'I like it'.,It is cold' లో 'It' సబ్జెక్ట్ మరియు 'I like it' లో ఆబ్జెక్ట్.
1,mcq,My brother and _ went to the park.,మా అన్నయ్య మరియు _ పార్కుకు వెళ్ళాము.,me,I,my,mine,B,Use the subject pronoun 'I' when you are part of the subject.,మీరు సబ్జెక్ట్‌లో భాగంగా ఉన్నప్పుడు 'I' అనే సబ్జెక్ట్ ప్రోనౌన్‌ను ఉపయోగించండి.
1,mcq,The teacher spoke to my friend and _.,ఉపాధ్యాయుడు నా స్నేహితుడితో మరియు _ తో మాట్లాడారు.,I,me,my,mine,B,Use the object pronoun 'me' because you are the object of the preposition 'to'.,me' అనే ఆబ్జెక్ట్ ప్రోనౌన్‌ను ఉపయోగించండి ఎందుకంటే మీరు 'to' అనే ప్రిపోజిషన్ యొక్క ఆబ్జెక్ట్.
1,mcq,_ don't understand the question.,_ కి ప్రశ్న అర్థం కాలేదు.,Me,My,I,Mine,C,I' is the subject pronoun needed to perform the action 'don't understand'.,don't understand' అనే చర్యను చేయడానికి 'I' అనే సబ్జెక్ట్ ప్రోనౌన్ అవసరం.
1,mcq,Are you talking to _?,మీరు _ తో మాట్లాడుతున్నారా?,I,my,me,mine,C,me' is the object pronoun used after the preposition 'to'.,me' అనేది 'to' అనే ప్రిపోజిషన్ తర్వాత ఉపయోగించే ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,Us live in this city.,We live in this city.,Our live in this city.,Ourselves live in this city.,B,We' is the subject pronoun needed to start the sentence.,వాక్యాన్ని ప్రారంభించడానికి 'We' అనే సబ్జెక్ట్ ప్రోనౌన్ అవసరం.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,The dog followed we.,The dog followed us.,The dog followed our.,The dog followed ourselves.,B,us' is the object pronoun needed because it receives the action 'followed'.,followed' అనే చర్యను స్వీకరిస్తున్నందున 'us' అనే ఆబ్జెక్ట్ ప్రోనౌన్ అవసరం.
1,mcq,_ and I are in the same class.,_ మరియు నేను ఒకే తరగతిలో ఉన్నాము.,Him,He,His,Himself,B,Use the subject pronoun 'He' when he is part of the subject.,అతను సబ్జెక్ట్‌లో భాగంగా ఉన్నప్పుడు 'He' అనే సబ్జెక్ట్ ప్రోనౌన్‌ను ఉపయోగించండి.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,They called I.,They called me.,They called my.,They called mine.,B,me' is the object pronoun receiving the action 'called'.,me' అనేది 'called' అనే చర్యను స్వీకరిస్తున్న ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,_ is my favorite color.,_ నాకిష్టమైన రంగు.,It,Its,It's,Him,A,It' is the correct subject pronoun to start this sentence.,ఈ వాక్యాన్ని ప్రారంభించడానికి 'It' సరైన సబ్జెక్ట్ ప్రోనౌన్.
1,mcq,I don't like _.,నాకు _ ఇష్టం లేదు.,it,its,he,we,A,it' is the object pronoun receiving the action 'don't like'.,it' అనేది 'don't like' అనే చర్యను స్వీకరిస్తున్న ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,Dad is waiting for _.,నాన్న _ కోసం వేచి ఉన్నారు.,we,us,our,ourselves,B,us' is the object pronoun used after the preposition 'for'.,us' అనేది 'for' అనే ప్రిపోజిషన్ తర్వాత ఉపయోగించే ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,Him likes to read.,He like to read.,He likes to read.,His likes to read.,C,Use the subject pronoun 'He' and add 's' to the verb 'like' for third-person singular.,He' అనే సబ్జెక్ట్ ప్రోనౌన్‌ను ఉపయోగించండి మరియు థర్డ్-పర్సన్ సింగులర్ కోసం 'like' అనే క్రియకు 's' జోడించండి.
1,mcq,Choose the correct sentence:,సరైన వాక్యాన్ని ఎంచుకోండి:,She invited he to the party.,She invited him to the party.,She invited his to the party.,She invited himself to the party.,B,him' is the object pronoun receiving the action 'invited'.,him' అనేది 'invited' అనే చర్యను స్వీకరిస్తున్న ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,Can _ borrow your pen?,_ మీ పెన్ తీసుకోవచ్చా?,Me,My,I,Mine,C,Use the subject pronoun 'I' when asking to perform an action (borrow).,borrow' (తీసుకోవడం) అనే చర్యను చేయడానికి అడిగేటప్పుడు 'I' అనే సబ్జెక్ట్ ప్రోనౌన్‌ను ఉపయోగించండి.
1,mcq,The teacher gave _ a prize.,ఉపాధ్యాయుడు _ కి బహుమతి ఇచ్చారు.,we,us,our,ourselves,B,us' is the object pronoun that receives the prize.,us' అనేది బహుమతిని స్వీకరించే ఆబ్జెక్ట్ ప్రోనౌన్.
1,mcq,Are _ coming with us?,_ మాతో వస్తున్నారా?,they,them,their,theirs,A,They' is the subject pronoun needed to ask the question.,ప్రశ్న అడగడానికి 'They' అనే సబ్జెక్ట్ ప్రోనౌన్ అవసరం.
