Number,English,IPA_Eng,Telugu,IPA_Telugu,Roman,PartOfSpeech,Category,English_Example,Telugu_Example
1,a,/ə/,ఒక,/oka/,oka,Determiner,Article,She bought a new car.,ఆమె ఒక కొత్త కారు కొన్నది.
2,ability,/əˈbɪl.ə.t̬i/,సామర్థ్యం,/saːmardʱjaM/,sāmarthyaṁ,Noun,Abstract,He has the ability to solve complex problems.,అతనికి సంక్లిష్ట సమస్యలను పరిష్కరించే సామర్థ్యం ఉంది.
3,able,/ˈeɪ.bəl/,సామర్థ్యం గల,/saːmardʱjaM gala/,sāmarthyaṁ gala,Adjective,Quality,Are you able to lift this box?,మీరు ఈ పెట్టెను ఎత్తగలరా?
4,about,/əˈbaʊt/,గురించి,/ɡuriɲtʃi/,gurin̄ci,Preposition,Relation,Tell me about your trip.,మీ ప్రయాణం గురించి చెప్పండి.
5,above,/əˈbʌv/,పైన,/pai.na/,paina,Preposition,Place,The fan is above.,ఫ్యాన్ పై ఉన్నది.
6,abstract,/ˈæb.stɹækt/,భావనాత్మక,/bʱaːvanaːtmaka/,bhāvanātmaka,Adjective,Quality,It is an abstract painting.,ఇది ఒక భావనాత్మక చిత్రలేఖనం.
7,academic,/ˌæk.əˈdɛm.ɪk/,విద్యా సంబంధమైన,/vidjaː sambandʱamaina/,vidyā sambandhamaina,Adjective,Field,She has a strong academic background.,ఆమెకు బలమైన విద్యా నేపథ్యం ఉంది.
8,accept,/əkˈsept/,అంగీకరించు,/an.gi.ka.rin.chu/,angeekarinchu,Verb,Action,Accept the offer.,ఆఫర్ అంగీకరించు.
9,access,/ˈæk.sɛs/,ప్రవేశం,/praveːɕaM/,pravēśaṁ,Noun,Concept,We need access to the building.,మాకు భవనంలోకి ప్రవేశం కావాలి.
10,accident,/ˈæk.sə.dənt/,ప్రమాదం,/pramaːdaM/,pramādaṁ,Noun,Event,He was injured in a car accident.,అతను కారు ప్రమాదంలో గాయపడ్డాడు.
11,according,/əˈkɔɹ.dɪŋ/,ప్రకారం,/prakaːraM/,prakāraṁ,Adverb,Relation,"According to the news, it will rain tomorrow.","వార్తల ప్రకారం, రేపు వర్షం పడుతుంది."
12,account,/əˈkaʊnt/,ఖాతా,/khaa.ta/,khaata,Noun,Money,Open an account.,ఖాతా తెరువు.
13,accountant,/əˈkaʊn.tənt/,ఖాతాదారి,/kha.tha.da.ri/,khaatadaari,Noun,Profession,Meet the accountant.,ఖాతాదారిని కలువు.
14,accuse,/əˈkjuːz/,ఆరోపించు,/aːroːpiɲtʃu/,ārōpin̄cu,Verb,Action > Communication,They accuse him of theft.,వారు అతనిపై దొంగతనం ఆరోపించారు.
15,achieve,/əˈtʃiːv/,సాధించు,/saːdʱiɲtʃu/,sādhin̄cu,Verb,Action > Goal,She worked hard to achieve her goals.,ఆమె తన లక్ష్యాలను సాధించడానికి కష్టపడి పనిచేసింది.
16,achievement,/əˈtʃiːv.mənt/,విజయం,/vidʒajaM/,vijayaṁ,Noun,Abstract,Winning the award was a great achievement.,అవార్డు గెలవడం ఒక గొప్ప విజయం.
17,acquire,/əˈkwaɪ.ɚ/,సంపాదించు,/sampaːdiɲtʃu/,sampādin̄cu,Verb,Action > Possession,The company plans to acquire new assets.,కంపెనీ కొత్త ఆస్తులను సంపాదించాలని యోచిస్తోంది.
18,across,/əˈkrɒs/,అడ్డంగా,/addan.ga/,addanga,Preposition,Place,Swim across the river.,నది అడ్డంగా ఈదు.
19,act,/ækt/,చర్య,/tʃarja/,carya,Noun,Action,His brave act saved the child.,అతని ధైర్యమైన చర్య ఆ బిడ్డను కాపాడింది.
20,action,/ˈæk.ʃən/,చర్య,/tʃarja/,carya,Noun,Action,We need to take immediate action.,మనం తక్షణ చర్య తీసుకోవాలి.
21,active,/ˈæk.tɪv/,చురుకైన,/tʃurukaina/,curukaina,Adjective,Quality,He leads a very active life.,అతను చాలా చురుకైన జీవితాన్ని గడుపుతాడు.
22,activity,/ækˈtɪv.ə.ti/,కార్యకలాపము,/kaa.rya.kalaa.pa.mu/,kaaryakalaapamu,Noun,Education,Do the activity.,కార్యకలాపం చేయి.
23,actually,/ˈæk.tʃu.ə.li/,వాస్తవానికి,/ʋaːstavaːniki/,vāstavāniki,Adverb,Manner,"Actually, I have never been there.","వాస్తవానికి, నేను అక్కడికి ఎప్పుడూ వెళ్ళలేదు."
24,adapt,/əˈdæpt/,అలవాటు పడు,/alaʋaːʈu paɖu/,alavāṭu paḍu,Verb,Action > Change,Animals must adapt to their environment.,జంతువులు వాటి పర్యావరణానికి అలవాటు పడాలి.
25,add,/æd/,జతచేయి,/jatha cheyi/,jatha cheyi,Verb,Action,Add sugar.,చెక్కెర జతచేయి.
26,address,/əˈdres/,చిరునామా,/chi.ru.naa.maa/,chirunaamaa,Noun,Identity,Note down the address.,చిరునామా వ్రట్టు.
27,adequate,/ˈæd.ə.kwət/,సరిపడినంత,/saripaɖinanta/,saripaḍinanta,Adjective,Quantity,Is the food adequate for everyone?,ఆహారం అందరికీ సరిపడినంత ఉందా?
28,adjust,/əˈdʒʌst/,సర్దుబాటు చేయు,/sardubaːʈu tʃeːju/,sardubāṭu cēyu,Verb,Action > Change,You need to adjust the mirror.,మీరు అద్దాన్ని సర్దుబాటు చేయాలి.
29,administration,/ədˌmɪn.əˈstɹeɪ.ʃən/,పరిపాలన,/paripaːlana/,paripālana,Noun,System,The university administration is very efficient.,విశ్వవిద్యాలయ పరిపాలన చాలా సమర్థవంతంగా ఉంటుంది.
