Base Form (V1),Telugu Meaning (V1),3rd Person Singular (he/she/it)  (V5),Telugu meaning ( he she it) (V5),-ing Form (Present Participle) (V4),Telugu meaning (V4),Past Simple (V2),Telugu meaning (V2),Past Participle (V3),Telugu meaning (V3)
abash,పరువు తీయడం,abashes,సిగ్గుపడేలా చేస్తాడు/చేస్తుంది,abashing,సిగ్గుపడేలా చేస్తూ,abashed,సిగ్గుపడ్డాడు,abashed,సిగ్గుపడి
abate,తగ్గించుట,abates,తగ్గిస్తాడు/తగ్గిస్తుంది,abating,తగ్గిస్తూ,abated,తగ్గింది,abated,తగ్గిపోయి
abide,"కట్టుబడు, బధ్ధమైయుండు",abides,నివసిస్తాడు/నివసిస్తుంది,abiding,నివసిస్తూ,abode,నివసించాడు,abode,నివసించి
absorb,"పీల్చు, శోషించు",absorbs,శోషిస్తాడు/శోషిస్తుంది,absorbing,శోషిస్తూ,absorbed,శోషించబడింది,absorbed,శోషించబడి
accept,అంగీకరించడం,accepts,అంగీకరిస్తాడు/అంగీకరిస్తుంది,accepting,అంగీకరిస్తూ,accepted,అంగీకరించాడు,accepted,అంగీకరించబడిన
accompany,తోడు,accompanies,తోడుగా వెళ్తాడు/వెళ్తుంది,accompanying,తోడుగా వెళ్తూ,accompanied,తోడుగా వెళ్ళాడు,accompanied,తోడుగా వెళ్లి
ache,"నొప్పి, బాధ",aches,నొప్పి పెడుతుంది,aching,నొప్పి పెడుతూ,ached,నొప్పి పెట్టింది,ached,నొప్పి పెట్టి
achieve,సాధించు,achieves,సాధిస్తాడు/సాధిస్తుంది,achieving,సాధిస్తూ,achieved,సాధించాడు,achieved,సాధించిన
acquire,సంపాదించు,acquires,సంపాదిస్తాడు/సంపాదిస్తుంది,acquiring,సంపాదిస్తూ,acquired,సంపాదించాడు,acquired,సంపాదించిన
act,నటించు,acts,నటిస్తాడు/నటిస్తుంది,acting,నటిస్తూ,acted,నటించాడు,acted,నటించి
add,"చేర్చు, కూర్చు, జోడించు",adds,జోడిస్తాడు/జోడిస్తుంది,adding,జోడిస్తూ,added,జోడించాడు,added,జోడించబడి
address,సంబోధించు,addresses,సంబోధిస్తాడు/సంబోధిస్తుంది,addressing,సంబోధిస్తూ,addressed,సంబోధించాడు,addressed,సంబోధించి
adjust,సర్దుబాటు,adjusts,సర్దుబాటు చేస్తాడు/చేస్తుంది,adjusting,సర్దుబాటు చేస్తూ,adjusted,సర్దుబాటు చేశాడు,adjusted,సర్దుబాటు చేయబడి
admire,"ప్రశంసించు, మెచ్చుకొను",admires,అభినందిస్తాడు/అభినందిస్తుంది,admiring,అభినందిస్తూ,admired,అభినందించాడు,admired,అభినందించబడి
admit,ఒప్పుకొను/అనుమతించు,admits,ఒప్పుకుంటాడు/ఒప్పుకుంటుంది,admitting,ఒప్పుకుంటూ,admitted,ఒప్పుకున్నాడు,admitted,ఒప్పుకొని
advise,సలహా,advises,సలహా ఇస్తాడు/ఇస్తుంది,advising,సలహా ఇస్తూ,advised,సలహా ఇచ్చాడు,advised,సలహా ఇవ్వబడి
afford,"భరించు,స్థోమత,",affords,భరించగలడు/భరించగలదు,affording,భరించగలుగుతూ,afforded,భరించగలిగాడు,afforded,భరించగలిగి
agree,"ఒప్పుకొను, సమ్మతించు, అంగీకరించు",agrees,ఒప్పుకుంటాడు/ఒప్పుకుంటుంది,agreeing,ఒప్పుకుంటూ,agreed,ఒప్పుకున్నాడు,agreed,ఒప్పుకొని
alight,"వెలుగుతూ, దిగు",alights,దిగుతాడు/దిగుతుంది,alighting,దిగుతూ,alit,దిగాడు,alit,దిగి
allow,అనుమతించు,allows,అనుమతిస్తాడు/అనుమతిస్తుంది,allowing,అనుమతిస్తూ,allowed,అనుమతించాడు,allowed,అనుమతించబడి
animate,"ప్రాణియైన, చేతనమైన",animates,ప్రాణం పోస్తాడు/పోస్తుంది,animating,ప్రాణం పోస్తూ,animated,ప్రాణం పోసాడు,animated,ప్రాణం పోయబడి
announce,"ప్రకటించు, చాటించు",announces,ప్రకటిస్తాడు/ప్రకటిస్తుంది,announcing,ప్రకటిస్తూ,announced,ప్రకటించాడు,announced,ప్రకటించబడి
answer,సమాధానం,answers,సమాధానం చెప్తాడు/చెప్తుంది,answering,సమాధానం చెప్తూ,answered,సమాధానం చెప్పాడు,answered,సమాధానం చెప్పబడి
apologize,క్షమాపణలు,apologizes,క్షమాపణ చెప్తాడు/చెప్తుంది,apologizing,క్షమాపణ చెప్తూ,apologized,క్షమాపణ చెప్పాడు,apologized,క్షమాపణ చెప్పి
appear,"కనిపించు, హాజరవ్వు",appears,కనిపిస్తాడు/కనిపిస్తుంది,appearing,కనిపిస్తూ,appeared,కనిపించాడు,appeared,కనిపించి
applaud,"స్తుతించు, పొగుడు",applauds,చప్పట్లు కొడతాడు/కొడుతుంది,applauding,చప్పట్లు కొడుతూ,applauded,చప్పట్లు కొట్టాడు,applauded,చప్పట్లు కొట్టబడి
apply,దరఖాస్తు చేయటం,applies,దరఖాస్తు చేస్తాడు/చేస్తుంది,applying,దరఖాస్తు చేస్తూ,applied,దరఖాస్తు చేశాడు,applied,దరఖాస్తు చేయబడి
approach,"విధానం, సమీపించు",approaches,సమీపిస్తాడు/సమీపిస్తుంది,approaching,సమీపిస్తూ,approached,సమీపించాడు,approached,సమీపించి
approve,"ఆమోదించు, అంగీకరించు",approves,ఆమోదిస్తాడు/ఆమోదిస్తుంది,approving,ఆమోదిస్తూ,approved,ఆమోదించాడు,approved,ఆమోదించబడి
argue,వాదించు,argues,వాదిస్తాడు/వాదిస్తుంది,arguing,వాదిస్తూ,argued,వాదించాడు,argued,వాదించి
arise,"లేచు, తలెత్తు",arises,ఉదయిస్తాడు/ఉదయిస్తుంది,arising,ఉదయిస్తూ,arose,ఉదయించింది,arisen,ఉదయించి
arrange,ఏర్పాటుచెయ్యి,arranges,ఏర్పాటు చేస్తాడు/చేస్తుంది,arranging,ఏర్పాటు చేస్తూ,arranged,ఏర్పాటు చేశాడు,arranged,ఏర్పాటు చేయబడి
arrest,"నిర్భందించు, అరెస్టు",arrests,అరెస్టు చేస్తాడు/చేస్తుంది,arresting,అరెస్టు చేస్తూ,arrested,అరెస్టు చేశాడు,arrested,అరెస్టు చేయబడి
ask,అడుగు,asks,అడుగుతాడు/అడుగుతుంది,asking,అడుగుతూ,asked,అడిగాడు,asked,అడగబడి
assert,"నొక్కి చెప్పు, చెప్పు",asserts,నొక్కి చెప్తాడు/చెప్తుంది,asserting,నొక్కి చెప్తూ,asserted,నొక్కి చెప్పాడు,asserted,నొక్కి చెప్పబడి
assort,వర్గీకరించు,assorts,వర్గీకరిస్తాడు/వర్గీకరిస్తుంది,assorting,వర్గీకరిస్తూ,assorted,వర్గీకరించాడు,assorted,వర్గీకరించబడి
astonish,"ఆశ్చర్యపడు, నిర్ఘాంతపోవు",astonishes,ఆశ్చర్యపరుస్తాడు/ఆశ్చర్యపరుస్తుంది,astonishing,ఆశ్చర్యపరుస్తూ,astonished,ఆశ్చర్యపోయాడు,astonished,ఆశ్చర్యపోయి
attack,దాడి చెయ్యు,attacks,దాడి చేస్తాడు/చేస్తుంది,attacking,దాడి చేస్తూ,attacked,దాడి చేశాడు,attacked,దాడి చేయబడి
attend,హాజరు అవ్వు,attends,హాజరవుతాడు/హాజరవుతుంది,attending,హాజరవుతూ,attended,హాజరయ్యాడు,attended,హాజరయ్యి
attract,ఆకర్షించు,attracts,ఆకర్షిస్తాడు/ఆకర్షిస్తుంది,attracting,ఆకర్షిస్తూ,attracted,ఆకర్షించాడు,attracted,ఆకర్షించబడి
audit,లెక్కలు తనిఖీ చెయ్యి,audits,ఆడిట్ చేస్తాడు/చేస్తుంది,auditing,ఆడిట్ చేస్తూ,audited,ఆడిట్ చేశాడు,audited,ఆడిట్ చేయబడి
avoid,తప్పించుకొను,avoids,తప్పిస్తాడు/తప్పిస్తుంది,avoiding,తప్పిస్తూ,avoided,తప్పించుకున్నాడు,avoided,తప్పించబడి
awake,మేలుకొని,awakes,మేల్కొంటాడు/మేల్కొంటుంది,awaking,మేల్కొంటూ,awoke,మేల్కొన్నాడు,awoken,మేల్కొని
bang,"బాదు, కొట్టు, మోగించు",bangs,గట్టిగా కొడతాడు/కొడుతుంది,banging,గట్టిగా కొడుతూ,banged,గట్టిగా కొట్టాడు,banged,గట్టిగా కొట్టబడి
banish,"బహిష్కరించు, వెళ్ళగొట్టు",banishes,బహిష్కరిస్తాడు/బహిష్కరిస్తుంది,banishing,బహిష్కరిస్తూ,banished,బహిష్కరించాడు,banished,బహిష్కరించబడి
bash,చిట్లగొట్టు,bashes,దెబ్బ కొడతాడు/కొడుతుంది,bashing,దెబ్బ కొడుతూ,bashed,దెబ్బ కొట్టాడు,bashed,దెబ్బ కొట్టబడి
bat,"గబ్బిలము, బ్యాటింగ్ చేయు",bats,బ్యాటింగ్ చేస్తాడు/చేస్తుంది,batting,బ్యాటింగ్ చేస్తూ,batted,బ్యాటింగ్ చేశాడు,batted,బ్యాటింగ్ చేసి
bear,భరించు,bears,భరిస్తాడు/భరిస్తుంది,bearing,భరిస్తూ,bore,భరించాడు,born,పుట్టి
beat,కొట్టు,beats,కొడతాడు/కొడుతుంది,beating,కొడుతూ,beat,కొట్టాడు,beaten,కొట్టబడి
beautify,"అందమైన, చక్కని",beautifies,అందంగా తీర్చిదిద్దుతాడు/తీర్చిదిద్దుతుంది,beautifying,అందంగా తీర్చిదిద్దుతూ,beautified,అందంగా తీర్చిదిద్దారు,beautified,అందంగా తీర్చిదిద్దబడి
become,అవ్వు,becomes,అవుతాడు/అవుతుంది,becoming,అవుతూ,became,అయ్యాడు,become,అయి
befall,జరుగు,befalls,సంభవిస్తుంది,befalling,సంభవిస్తూ,befell,సంభవించింది,befallen,సంభవించి
beg,"యాచించు, వేడుకోను, ప్రార్థించు",begs,వేడుకుంటాడు/వేడుకుంటుంది,begging,వేడుకుంటూ,begged,వేడుకున్నాడు,begged,వేడుకొని
begin,ప్రారంభం,begins,ప్రారంభిస్తాడు/ప్రారంభిస్తుంది,beginning,ప్రారంభిస్తూ,began,ప్రారంభించాడు,begun,ప్రారంభించబడి
behave,"ప్రవర్తించు, నడచుకోను",behaves,ప్రవర్తిస్తాడు/ప్రవర్తిస్తుంది,behaving,ప్రవర్తిస్తూ,behaved,ప్రవర్తించాడు,behaved,ప్రవర్తించి
behold,"తెలుసుకొను, చూడు",beholds,చూస్తాడు/చూస్తుంది,beholding,చూస్తూ,beheld,చూశాడు,beheld,చూడబడి
believe,"నమ్ము, విశ్వసించు",believes,నమ్ముతాడు/నమ్ముతుంది,believing,నమ్ముతూ,believed,నమ్మాడు,believed,నమ్మబడి
belong,"చెందు, సంబంధించు",belongs,చెందుతుంది,belonging,చెందుతూ,belonged,చెందినది,belonged,చెంది
bend,"వంచు, వంగు",bends,వంచుతాడు/వంచుతుంది,bending,వంచుతూ,bent,వంగిపోయాడు,bent,వంగిపోయి
bereave,"కోల్పోవు, నష్టపరచు",bereaves,కోల్పోయేలా చేస్తాడు/చేస్తుంది,bereaving,కోల్పోయేలా చేస్తూ,bereft,కోల్పోయిన,bereft,కోల్పోయి
beseech,"బతిమాలుకొనుచున్నాను, మనస్ఫూర్తిగా కోరు",beseeches,వేడుకుంటాడు/వేడుకుంటుంది,beseeching,వేడుకుంటూ,besought,వేడుకున్నాడు,besought,వేడుకొని
bet,"పందెంవెయ్యి, పందెం",bets,పందెం వేస్తాడు/వేస్తుంది,betting,పందెం వేస్తూ,bet,పందెం వేశాడు,bet,పందెం వేయబడి
betray,"ద్రోహం చెయ్యి, మోసంచెయ్యి",betrays,మోసం చేస్తాడు/చేస్తుంది,betraying,మోసం చేస్తూ,betrayed,మోసం చేశాడు,betrayed,మోసం చేయబడి
bid,"వేలంలోపాడు, పంపు",bids,వేలం పాడతాడు/పాడుతుంది,bidding,వేలం పాడుతూ,bid,వేలం పాడాడు,bid,వేలం పాడబడి
bind,కట్టుబడి ఉండుట,binds,కట్టుతాడు/కట్టుతుంది,binding,కట్టుతూ,bound,కట్టుబడి ఉన్నాడు,bound,కట్టుబడి
bite,"కాటు, కొరుకు, కరుvuట",bites,కరుస్తాడు/కరుస్తుంది,biting,కరుస్తూ,bit,కరిచాడు,bitten,కరవబడి
bleed,"రక్తంకారు, రక్తస్రావం",bleeds,రక్తం కారుతుంది,bleeding,రక్తం కారుతూ,bled,రక్తం కారింది,bled,రక్తం కారి
bless,"దీవించు, ఆశీర్వదించు",blesses,దీవిస్తాడు/దీవిస్తుంది,blessing,దీవిస్తూ,blessed,దీవించాడు,blessed,దీవించబడి
blossom,"పూయు, వికసించు",blossoms,వికసిస్తుంది,blossoming,వికసిస్తూ,blossomed,వికసించింది,blossomed,వికసించి
blow,"వీచు, విసరు",blows,ఊదుతాడు/ఊదుతుంది,blowing,ఊదుతూ,blew,ఊదాడు,blown,ఊదబడి
blur,"అస్పష్టత, కళంకం",blurs,మసకబారుస్తుంది,blurring,మసకబారుస్తూ,blurred,మసకబారింది,blurred,మసకబారి
blush,సిగ్గు,blushes,సిగ్గుపడతాడు/సిగ్గుపడుతుంది,blushing,సిగ్గుపడుతూ,blushed,సిగ్గుపడ్డాడు,blushed,సిగ్గుపడి
board,"బోర్డు, వసతి, ఎక్కు",boards,ఎక్కుతాడు/ఎక్కుతుంది,boarding,ఎక్కుతూ,boarded,ఎక్కాడు,boarded,ఎక్కి
boast,ప్రగల్భాలు,boasts,గొప్పలు చెప్తాడు/చెప్తుంది,boasting,గొప్పలు చెప్తూ,boasted, గొప్పలు చెప్పాడు,boasted,గొప్పలు చెప్పి
boil,"మరుగు, కాచు, పొంగు",boils,ఉడికిస్తాడు/ఉడికిస్తుంది,boiling,ఉడికిస్తూ,boiled,ఉడికింది,boiled,ఉడికించబడి
bow,"విల్లు, వంచిన",bows,నమస్కరిస్తాడు/నమస్కరిస్తుంది,bowing,నమస్కరిస్తూ,bowed,నమస్కరించాడు,bowed,నమస్కరించి
break,పగలగొట్టు,breaks,పగలగొడతాడు/పగలగొడుతుంది,breaking,పగలగొడుతూ,broke,పగలగొట్టాడు,broken,పగలగొట్టబడి
breathe,ఊపిరి తీసుకొను,breathes,శ్వాస పీల్చుకుంటాడు/పీల్చుకుంటుంది,breathing,శ్వాస పీల్చుకుంటూ,breathed,శ్వాస పీల్చుకున్నాడు,breathed,శ్వాస పీల్చుకొని
breed,జాతిని,breeds,పెంపకం చేస్తాడు/చేస్తుంది,breeding,పెంపకం చేస్తూ,bred,పెంపకం చేశాడు,bred,పెంపకం చేయబడి
bring,దూరం ప్రదేశంనుండి దగ్గరకు తీసుకొనివచ్చు,brings,తెస్తాడు/తెస్తుంది,bringing,తెస్తూ,brought,తెచ్చాడు,brought,తేబడి
broadcast,ప్రసారం చేయు,broadcasts,ప్రసారం చేస్తాడు/చేస్తుంది,broadcasting,ప్రసారం చేస్తూ,broadcast,ప్రసారం చేశాడు,broadcast,ప్రసారం చేయబడి
