Class_Number,Class_Title_EN,Class_Title_TE,Key_Topics_EN,Key_Topics_TE,Instructions_EN,Instructions_TE,Tips_Tricks_EN,Tips_Tricks_TE,Uses_EN,Uses_TE
1,Pronouns,సర్వనామాలు (Pronouns),"Understanding the difference between pronouns that act as the doer of an action (Subject - I, We, He, She) and those that receive the effect of the action (Object - Me, Us, Him, Her). Learning the correct usage of each pronoun.","వాక్యంలో పని చేసే వ్యక్తిని (Subject - I, We, He, She) మరియు పని యొక్క ప్రభావాన్ని పొందే వారిని (Object - Me, Us, Him, Her) సూచించే సర్వనామాల మధ్య తేడాను అర్థం చేసుకోవడం. ప్రతి సర్వనామం యొక్క సరైన వాడకాన్ని నేర్చుకోవడం.",Read the given example sentences aloud. Try to write one original sentence for each subject pronoun and one for each object pronoun. Ex: I teach him. He teaches me.,"ఇచ్చిన ఉదాహరణ వాక్యాలను గట్టిగా చదవండి. ప్రతి సబ్జెక్ట్ ప్రొనౌన్‌కు ఒక సొంత వాక్యం, మరియు ప్రతి ఆబ్జెక్ట్ ప్రొనౌన్‌కు ఒక సొంత వాక్యం రాయడానికి ప్రయత్నించండి. ఉదా: I teach him. He teaches me.","A simple rule of thumb: The pronoun that comes before the verb is the subject (e.g., **He** invited me). The pronoun that comes after the verb is the object (e.g., He invited **me**).","ఒక సులభమైన గుర్తు: క్రియ (verb)కు ముందు వచ్చే సర్వనామం సబ్జెక్ట్ (e.g., **He** invited me). క్రియ తర్వాత వచ్చే సర్వనామం ఆబ్జెక్ట్ (e.g., He invited **me**).",To make sentences concise and clear without repeating the same noun in conversation. To state precisely who did what and to whom something happened.,"సంభాషణలో ఒకే నామవాచకాన్ని (noun) పదేపదే వాడకుండా, వాక్యాలను సంక్షిప్తంగా మరియు స్పష్టంగా చేయడానికి. ఎవరు ఏమి చేసారో, ఎవరికి ఏమి జరిగిందో కచ్చితంగా చెప్పడానికి."
2,Self Introduction,స్వీయ పరిచయం (Self Introduction),"Learning the necessary sentence structures to introduce oneself formally and informally. This includes knowing how to talk about various aspects like name, family, profession, hobbies, goals, and strengths.","ఒకరిని ఒకరు అధికారికంగా మరియు అనధికారికంగా పరిచయం చేసుకోవడానికి అవసరమైన వాక్య నిర్మాణాలను నేర్చుకోవడం. ఇందులో పేరు, కుటుంబం, వృత్తి, అభిరుచులు, లక్ష్యాలు, మరియు బలాల వంటి వివిధ అంశాలను ఎలా చెప్పాలో తెలుసుకోవడం.",Prepare a short introductory speech about yourself using the given framework. Practice it in front of a mirror or with friends. This will boost your confidence.,ఇచ్చిన ఫ్రేమ్‌వర్క్‌ను ఉపయోగించి మీ గురించి ఒక చిన్న పరిచయ ప్రసంగాన్ని సిద్ధం చేసుకోండి. దానిని అద్దం ముందు నిలబడి లేదా స్నేహితులతో కలిసి ప్రాక్టీస్ చేయండి. ఇది మీ ఆత్మవిశ్వాసాన్ని పెంచుతుంది.,"It's common to start with 'I am...' or 'My name is...'. To make your introduction interesting, add a sentence about your hobbies or goals. It's important to speak with a smile.",పరిచయం చేసేటప్పుడు 'I am...' లేదా 'My name is...' తో ప్రారంభించడం సాధారణం. మీ పరిచయాన్ని ఆసక్తికరంగా చేయడానికి మీ అభిరుచులు లేదా లక్ష్యాల గురించి ఒక వాక్యం జోడించండి. చిరునవ్వుతో మాట్లాడటం ముఖ్యం.,"To confidently introduce yourself in job interviews, when meeting new friends or colleagues, in meetings, or in any new place.","ఉద్యోగ ఇంటర్వ్యూలలో, కొత్త స్నేహితులను లేదా సహోద్యోగులను కలిసినప్పుడు, మీటింగ్‌లలో, లేదా ఏదైనా కొత్త ప్రదేశంలో మిమ్మల్ని మీరు ఆత్మవిశ్వాసంతో పరిచయం చేసుకోవడానికి."
3,Regular Verbs,సాధారణ క్రియలు (Regular Verbs),"Introduction to verbs, the words that indicate action. Explaining how regular verbs change from their V1 (present form) to V2 (past form) and V3 (past participle) forms by adding '-d' or '-ed'.","క్రియలకు పరిచయం, చర్యను సూచించే పదాలు. '-d' లేదా '-ed' జోడించడం ద్వారా సాధారణ క్రియలు వాటి V1 (ప్రస్తుత రూపం) నుండి V2 (గత రూపం) మరియు V3 (గత పార్టికల్) రూపాలకు ఎలా మారతాయో వివరించడం.","From the given list of verbs, learn five new verbs daily and write them down in a book, including their V1, V2, and V3 forms. Create small sentences with them.","ఇచ్చిన క్రియల జాబితా నుండి ప్రతిరోజూ ఐదు కొత్త క్రియలను నేర్చుకుని, వాటి V1, V2, V3 రూపాలతో సహా ఒక పుస్తకంలో రాసుకోండి. వాటితో చిన్న చిన్న వాక్యాలు తయారుచేయండి.","Most English verbs are regular. So, if you know this '-ed' rule, you can easily guess the past forms of thousands of verbs. This will help you even with verbs you don't know.","చాలా వరకు ఇంగ్లీష్ క్రియలు సాధారణమైనవే. కాబట్టి, ఈ '-ed' నియమం తెలిస్తే, మీరు వేలాది క్రియల గత రూపాలను సులభంగా ఊహించగలరు. ఇది తెలియని క్రియల విషయంలో కూడా మీకు సహాయపడుతుంది.","These verb forms are essential for constructing sentences about past actions (Simple Past), recently completed actions (Perfect Tenses), and in the passive voice.","గతంలో జరిగిన పనులను (Simple Past), అప్పుడే పూర్తయిన పనులను (Perfect Tenses), మరియు పాసివ్ వాయిస్‌లో వాక్యాలను నిర్మించడానికి ఈ క్రియారూపాలు అత్యవసరం."
4,Irregular Verbs,అసాధారణ క్రియలు (Irregular Verbs),"Introduction to irregular verbs that do not follow the '-ed' rule. Explaining that the V1, V2, and V3 forms of verbs like 'go-went-gone', 'eat-ate-eaten', 'speak-spoke-spoken' are completely different and must be memorized.","-ed' నియమాన్ని పాటించని అసాధారణ క్రియల (irregular verbs) గురించి పరిచయం. 'go-went-gone', 'eat-ate-eaten', 'speak-spoke-spoken' వంటి క్రియల యొక్క V1, V2, మరియు V3 రూపాలు పూర్తిగా భిన్నంగా ఉంటాయని మరియు వాటిని తప్పనిసరిగా గుర్తుంచుకోవాలని (memorize) వివరించడం.","Memorize the list of common irregular verbs provided. Try to learn 5-10 new verbs each day, writing down their V1, V2, and V3 forms. Use them in sentences.","అందించిన సాధారణ అసాధారణ క్రియల జాబితాను కంఠస్థం చేయండి. ప్రతిరోజూ 5-10 కొత్త క్రియలను, వాటి V1, V2, మరియు V3 రూపాలను రాసుకుంటూ నేర్చుకోవడానికి ప్రయత్నించండి. వాటిని వాక్యాలలో ఉపయోగించండి.","It's easier to learn these verbs by grouping them based on how their forms change (e.g., the 'i-a-u' pattern: begin-began-begun, sing-sang-sung). Use flashcards to review a few verbs every day.","ఈ క్రియలను వాటి స్వరూపం మారే విధానాన్ని బట్టి బృందాలుగా (e.g., 'i-a-u' పద్ధతి: begin-began-begun, sing-sang-sung) విభజించుకుని నేర్చుకోవడం సులభం. ఫ్లాష్‌కార్డ్‌లను ఉపయోగించి ప్రతిరోజూ కొన్ని క్రియలను పునశ్చరణ చేయండి.","Most of the commonly used verbs in daily conversation (eating, drinking, going, coming, seeing) are irregular. It is impossible to speak English clearly without learning them.","రోజువారీ సంభాషణలో అత్యంత సాధారణంగా ఉపయోగించే చాలా క్రియలు (తినడం, తాగడం, వెళ్ళడం, రావడం, చూడటం) అసాధారణమైనవి. వీటిని నేర్చుకోకుండా ఇంగ్లీషులో స్పష్టంగా మాట్లాడటం అసాధ్యం."
5,Daily Routines (Simple Present Tense),దినచర్యలు (Simple Present Tense),"Using the Simple Present Tense to talk about habitual actions, daily routines, and universal truths. Structure: 'I/We/You/They' + V1; 'He/She/It' + V1(-s/-es).","ప్రతిరోజూ అలవాటుగా చేసే పనులను (habitual actions), దినచర్యలను (daily routines), మరియు శాశ్వత సత్యాలను (universal truths) చెప్పడానికి Simple Present Tense వాడకం. నిర్మాణం: 'I/We/You/They' + V1; 'He/She/It' + V1(-s/-es).","Write a list of all the things you do from the time you wake up until you go to bed (e.g., I wake up at 6 AM, I brush my teeth). Also, write about your family members' routines (e.g., My father reads the newspaper).","మీరు ఉదయం లేచినప్పటి నుండి రాత్రి పడుకునే వరకు చేసే పనులన్నింటినీ ఒక జాబితాగా రాయండి (e.g., I wake up at 6 AM, I brush my teeth). మీ కుటుంబ సభ్యుల దినచర్య గురించి కూడా రాయండి (e.g., My father reads the newspaper).","If you see words like 'every day', 'usually', 'always', 'often', 'sometimes' in a sentence, recognize it as Simple Present Tense. Don't forget to add 's' to the verb when 'He/She/It' is the subject.","every day', 'usually', 'always', 'often', 'sometimes' వంటి పదాలు వాక్యంలో ఉంటే, అది Simple Present Tense అని గుర్తించండి. 'He/She/It' వచ్చినప్పుడు క్రియకు 's' చేర్చడం మర్చిపోవద్దు.","To talk about your daily routine, habits (I drink coffee every morning), universal truths (The sun rises in the east), and general facts (Water boils at 100 degrees).","మీ దినచర్య, అలవాట్లు (I drink coffee every morning), శాశ్వత సత్యాలు (The sun rises in the east), మరియు సాధారణ నిజాలను (Water boils at 100 degrees) చెప్పడానికి."
6,Questions & Negative Sentences (Do / Does),ప్రశ్నలు & వ్యతిరేక వాక్యాలు (Do / Does),Using the auxiliary verbs 'Do' and 'Does' to form questions and negative sentences in the Simple Present Tense. Use 'Do' for 'I/We/You/They' and 'Does' for 'He/She/It'.,"Simple Present Tenseలో ప్రశ్నలు మరియు వ్యతిరేక వాక్యాలు (negatives) చేయడానికి సహాయక క్రియలైన 'Do' మరియు 'Does' వాడకం. 'I/We/You/They' కొరకు 'Do', మరియు 'He/She/It' కొరకు 'Does' వాడాలి.","Convert the sentences about your daily routine from Class 5 into questions and negative sentences. (e.g., I take coffee -> Do I take coffee? -> I don't take coffee.)","5వ తరగతిలో మీరు రాసిన మీ దినచర్య వాక్యాలను ప్రశ్నలుగా మరియు వ్యతిరేక వాక్యాలుగా మార్చండి. (e.g., I take coffee -> Do I take coffee? -> I don't take coffee.)","An important rule: When 'Does' or 'doesn't' is used in a sentence, do not add '-s' or '-es' to the main verb. Always use the base form (V1). (e.g., Does he *go*? is correct. Does he *goes*? is incorrect.)","ఒక ముఖ్యమైన నియమం: వాక్యంలో 'Does' లేదా 'doesn't' వచ్చినప్పుడు, ప్రధాన క్రియకు '-s' లేదా '-es' చేర్చకూడదు. ఎల్లప్పుడూ బేస్ ఫారం (V1) వాడాలి. (e.g., Does he *go*? సరైనది. Does he *goes*? తప్పు.)","This is used to ask about others' habits and routines (e.g., Do you play cricket?), or to state that an action does not happen (e.g., He doesn't smoke).","ఇతరుల అలవాట్లు మరియు దినచర్యల గురించి అడగడానికి (e.g., Do you play cricket?), లేదా ఒక పని జరగదని చెప్పడానికి (e.g., He doesn't smoke) ఇది ఉపయోగపడుతుంది."
7,Detailed Questions (Question Table - Do & Does),వివరణాత్మక ప్రశ్నలు (Question Table - Do & Does),"Learning how to ask for specific information, rather than just 'yes/no' answers, by combining WH-question words like 'What', 'Why', 'Where', 'When', 'How' with 'Do' and 'Does'.","What', 'Why', 'Where', 'When', 'How' వంటి WH-ప్రశ్న పదాలను 'Do' మరియు 'Does' తో కలిపి, కేవలం 'అవును/కాదు' సమాధానాలు కాకుండా, నిర్దిష్ట సమాచారాన్ని అడగటం ఎలాగో నేర్చుకోవడం.","Create a list of WH-questions to find out about your friend's daily routine or hobbies. (e.g., What time do you wake up? Where do you work? Why do you like that movie?)","మీ స్నేహితుడి దినచర్య లేదా అభిరుచుల గురించి తెలుసుకోవడానికి WH-ప్రశ్నల జాబితాను తయారు చేయండి. (e.g., What time do you wake up? Where do you work? Why do you like that movie?)","When asking a question about the subject with 'Who', you don't need to use 'Do/Does'. (e.g., Who teaches you? is correct. Who does teach you? is incorrect.)","Who'తో సబ్జెక్ట్ గురించి ప్రశ్న అడిగేటప్పుడు 'Do/Does' వాడాల్సిన అవసరం లేదు. (e.g., Who teaches you? సరైనది. Who does teach you? తప్పు.)","To find out detailed information about someone or something, to ask for reasons, and to inquire about places and times.","ఒకరి గురించి లేదా ఒక విషయం గురించి వివరంగా తెలుసుకోవడానికి, కారణాలు అడగటానికి, మరియు ప్రదేశాలు, సమయాల గురించి ఆరా తీయడానికి."
8,Past Actions (Simple Past Tense),గతంలో జరిగిన పనులు (Simple Past Tense),"Using the Simple Past Tense to talk about an action that was completed at a specific time in the past. The second form of the verb (V2) is used for all subjects (I, you, he, she, etc.).","గతంలో ఒక నిర్దిష్ట సమయంలో జరిగిపోయిన పనిని చెప్పడానికి Simple Past Tense వాడకం. అన్ని సబ్జెక్టులకు (I, you, he, she, etc.) క్రియ యొక్క రెండవ రూపం (V2) వాడాలి.","Write a paragraph about all the things you did yesterday using the Simple Past Tense. (e.g., Yesterday, I went to college. I met my friends. We discussed the project.)","నిన్న మీరు చేసిన పనులన్నింటినీ Simple Past Tense ఉపయోగించి ఒక పేరాగ్రాఫ్‌గా రాయండి. (e.g., Yesterday, I went to college. I met my friends. We discussed the project.)","If you see words like 'yesterday', 'last week', 'last year', 'ago', or a specific past year (in 2010) in a sentence, recognize it as definitely Simple Past Tense.","yesterday', 'last week', 'last year', 'ago', లేదా ఒక నిర్దిష్ట గడిచిన సంవత్సరం (in 2010) వంటి పదాలు వాక్యంలో కనిపిస్తే, అది కచ్చితంగా Simple Past Tense అని గుర్తించండి.","For telling stories, describing past events (e.g., India got independence in 1947), and sharing your past experiences.","కథలు చెప్పడానికి, గతంలో జరిగిన సంఘటనలను (e.g., India got independence in 1947) వివరించడానికి, మీ గత అనుభవాలను పంచుకోవడానికి."
9,Past Questions & Negative Sentences (Did),గతంలో ప్రశ్నలు & వ్యతిరేక వాక్యాలు (Did),"Using the auxiliary verb 'Did' to form questions and negative sentences in the Simple Past Tense. It is the same for all subjects (I, we, you, they, he, she, it).","Simple Past Tenseలో ప్రశ్నలు మరియు వ్యతిరేక వాక్యాలు చేయడానికి సహాయక క్రియ 'Did' వాడకం. ఇది అన్ని సబ్జెక్టులకు (I, we, you, they, he, she, it) ఒకే విధంగా ఉంటుంది.","Convert the sentences you wrote in Class 8 into questions and negative sentences. (e.g., I went to college -> Did I go to college? -> I didn't go to college.)","8వ తరగతిలో మీరు రాసిన వాక్యాలను ప్రశ్నలుగా మరియు వ్యతిరేక వాక్యాలుగా మార్చండి. (e.g., I went to college -> Did I go to college? -> I didn't go to college.)","The most important rule: When 'Did' or 'didn't' is used in a sentence, the main verb must always be in its first form (V1), not V2. (e.g., Did you *go*? is correct. Did you *went*? is incorrect.)","అత్యంత ముఖ్యమైన నియమం: వాక్యంలో 'Did' లేదా 'didn't' వచ్చినప్పుడు, ప్రధాన క్రియ ఎల్లప్పుడూ దాని మొదటి రూపం (V1)లో ఉండాలి, V2లో కాదు. (e.g., Did you *go*? సరైనది. Did you *went*? తప్పు.)","To ask if an action happened in the past (e.g., Did you see the movie?), or to state that it didn't happen (e.g., She didn't come yesterday). It is used very commonly.","గతంలో ఒక పని జరిగిందా లేదా అని అడగడానికి (e.g., Did you see the movie?), లేదా జరగలేదని చెప్పడానికి (e.g., She didn't come yesterday). ఇది చాలా సాధారణంగా వాడబడుతుంది."
10,Detailed Past Questions (Question Table - Did),గతంలో వివరణాత్మక ప్రశ్నలు (Question Table - Did),"Learning how to ask for specific information about past actions by combining WH-question words (What, Where, When etc.) with 'Did'. (e.g., Why did you come late?)","WH-ప్రశ్న పదాలను (What, Where, When etc.) 'Did'తో కలిపి గతంలో జరిగిన పనుల గురించి నిర్దిష్ట సమాచారాన్ని అడగటం ఎలాగో నేర్చుకోవడం. (e.g., Why did you come late?)","Ask your friend WH-questions to find out what they did last weekend. (e.g., Where did you go last Sunday? What did you eat? Who did you meet?)","గత వారాంతంలో మీ స్నేహితుడు ఏమి చేసాడో తెలుసుకోవడానికి WH-ప్రశ్నలు అడగండి. (e.g., Where did you go last Sunday? What did you eat? Who did you meet?)","When asking about the subject with 'Who', 'Did' is not needed (e.g., Who helped you?). But when asking about the object, 'Did' is used (e.g., Who did you help?). Note this difference.","Who'తో సబ్జెక్ట్ గురించి అడుగుతుంటే 'Did' అవసరం లేదు (e.g., Who helped you?). కానీ ఆబ్జెక్ట్ గురించి అడుగుతుంటే 'Did' వాడాలి (e.g., Who did you help?). ఈ తేడాను గమనించండి.","This question structure is very useful in police investigations, inquiring about incidents, or learning about someone's past in detail.","పోలీసు విచారణలో, సంఘటనల గురించి ఆరా తీయడంలో, లేదా ఒకరి గతం గురించి వివరంగా తెలుసుకోవడానికి ఈ ప్రశ్నల నిర్మాణం చాలా ఉపయోగపడుతుంది."
