Category,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (Letter),Explanation / Notes
Vocabulary,Easy,Which word is a synonym for **happy**?,Gloomy,Joyful,Tired,Angry,B,"Joyful' means feeling, exhibiting, or inspiring joy; synonymous with happy."
Vocabulary,Medium,What does the word **'pensive'** mean?,Happy,Thoughtful,Angry,Energetic,B,"Pensive' means engaged in, or reflecting deep or serious thought."
Vocabulary,Hard,What is the antonym of **benevolent**?,Kind,Generous,Malicious,Thoughtful,C,Benevolent' means kind and well-meaning; 'malicious' means intending to do harm.
Vocabulary,Easy,What is the plural form of the word **'child'**?,childs,childrens,children,childes,C,Children' is an irregular plural noun.
Vocabulary,Hard,A person who is **'ubiquitous'** is:,Rarely seen,Found everywhere,Very intelligent,Always late,B,"Ubiquitous' means present, appearing, or found everywhere."
Vocabulary,Medium,What does the word **'skeptical'** mean?,Belief,Doubt,Happiness,Excitement,B,Skeptical' means not easily convinced; having doubts or reservations.
Vocabulary,Hard,Find the synonym for **'ephemeral'**.,Lasting,Permanent,Temporary,Strong,C,Ephemeral' means lasting for a very short time; 'temporary' is the closest synonym.
Vocabulary,Easy,The opposite of **'loud'** is:,Quiet,Noisy,Big,Fast,A,Quiet' is the antonym of 'loud'.
Vocabulary,Hard,What is the synonym for **'gregarious'**?,Shy,Quiet,Sociable,Angry,C,Gregarious' means fond of company; sociable.
Vocabulary,Medium,Find the synonym for **'prohibit'**.,Allow,Permit,Forbid,Encourage,C,"Prohibit' means to formally forbid something by law, rule, or authority; synonymous with forbid."
Vocabulary,Hard,What does **'acrimony'** mean?,Friendliness,Kindness,Bitterness,Laughter,C,Acrimony' means bitterness or ill-feeling.
Vocabulary,Medium,What does the word **'redundant'** mean?,Necessary,Essential,Unnecessary,Unique,C,Redundant' means no longer needed or useful.
Vocabulary,Easy,The opposite of **'arrive'** is:,Come,Go,Leave,Get,C,Leave' is the antonym of 'arrive'.
Vocabulary,Medium,The word **'tenuous'** means:,Solid,Strong,Weak,Heavy,C,Tenuous' means very weak or slight.
Vocabulary,Hard,What is the antonym of **'prudent'**?,Careful,Wise,Reckless,Cautious,C,Prudent' means acting with care; 'reckless' is the opposite.
Vocabulary,Easy,What is the past tense of the verb **'run'**?,ranned,runned,ran,runing,C,Ran' is the simple past tense of 'run'.
Vocabulary,Hard,A **'dichotomy'** is a division between two:,Similar things,Opposing things,Equal things,Old things,B,A 'dichotomy' is a division or contrast between two things that are or are represented as being opposed or entirely different.
Vocabulary,Medium,Find the synonym for **'alleviate'**.,Worsen,Relieve,Increase,Hinder,B,"Alleviate' means to make suffering, deficiency, or a problem less severe; synonymous with relieve."
Vocabulary,Easy,What is the adjective form of the noun **'beauty'**?,beautifully,beautify,beauties,beautiful,D,Beautiful' is the adjective form.
Vocabulary,Hard,What does the word **'capricious'** describe?,Constant,Predictable,Fickle,Stable,C,Capricious' means given to sudden and unaccountable changes of mood or behavior; synonymous with fickle.
Vocabulary,Medium,The opposite of **'commence'** is:,Finish,Start,Begin,Continue,A,Commence' means to begin; 'finish' means to end.
Vocabulary,Easy,Which word is a synonym for **'large'**?,Small,Tiny,Huge,Short,C,Huge' means extremely large; synonymous with large.
Vocabulary,Hard,Find the antonym for **'exacerbate'**.,Worsen,Aggravate,Improve,Intensify,C,Exacerbate' means to make a problem or situation worse; 'improve' is the antonym.
Vocabulary,Medium,What does **'irascible'** mean?,Easily pleased,Easily provoked to anger,Always cheerful,Very calm,B,Irascible' means having or showing a tendency to be easily angered.
Vocabulary,Easy,What is the comparative form of the adjective **'big'**?,biggest,biger,more big,bigger,D,The comparative form is 'bigger'.
Vocabulary,Hard,A **'panacea'** is a solution or remedy for:,A specific disease,All difficulties or diseases,Financial problems only,Psychological distress,B,A 'panacea' is a solution or remedy for all difficulties or diseases.
Vocabulary,Medium,Find the synonym for **'plausible'**.,Unbelievable,Possible,Impossible,Unlikely,B,Plausible' means seeming reasonable or probable; synonymous with possible.
Vocabulary,Easy,What is the plural form of **'mouse'**?,mouses,mousen,mice,mousees,C,Mice' is the irregular plural form.
Vocabulary,Hard,What does **'sycophant'** mean?,A critic,A follower,A flattering person,An enemy,C,A 'sycophant' is a servile flatterer; a person who acts obsequiously toward someone important in order to gain advantage.
Vocabulary,Medium,The opposite of **'synthetic'** is:,Artificial,Man-made,Natural,Complex,C,Synthetic' means made by chemical synthesis; 'natural' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'quick'**?,Slow,Fast,Dull,Weak,B,Fast' means moving or capable of moving at high speed; synonymous with quick.
Vocabulary,Hard,Find the antonym for **'profligate'**.,Wasteful,Extravagant,Thrifty,Reckless,C,Profligate' means recklessly extravagant or wasteful in the use of resources; 'thrifty' is the opposite.
Vocabulary,Medium,The word **'innocuous'** means:,Harmful,Dangerous,Harmless,Loud,C,Innocuous' means not harmful or offensive.
Vocabulary,Easy,What is the past participle of **'go'**?,goed,went,gone,going,C,Gone' is the past participle of 'go'.
Vocabulary,Hard,What does **'precarious'** mean?,Safe,Stable,Dangerous,Firm,C,Precarious' means not securely held or in position; dangerously likely to fall or collapse.
Vocabulary,Medium,The synonym for **'diligent'** is:,Lazy,Hardworking,Careless,Slow,B,Diligent' means having or showing care and conscientiousness in one's work or duties; synonymous with hardworking.
Vocabulary,Easy,The opposite of **'cold'** is:,Cool,Warm,Freeze,Ice,B,Warm' is the antonym of 'cold'.
Vocabulary,Hard,Find the synonym for **'mendacious'**.,Truthful,Honest,Lying,Sincere,C,Mendacious' means not telling the truth; lying.
Vocabulary,Medium,What does **'subside'** mean?,Increase,Grow,Decrease,Rise,C,"Subside' means to become less intense, violent, or severe."
Vocabulary,Easy,What is the comparative form of the adjective **'good'**?,gooder,best,better,more good,C,The comparative form is 'better'.
Vocabulary,Hard,An **'inchoate'** idea is one that is:,Fully formed,Recent,Not yet fully developed,Outdated,C,Inchoate' means just begun and so not fully formed or developed; rudimentary.
Vocabulary,Medium,The opposite of **'turbulent'** is:,Chaotic,Violent,Calm,Disorderly,C,"Turbulent' means characterized by conflict, disorder, or confusion; 'calm' is the antonym."
Vocabulary,Easy,Which word is a synonym for **'clever'**?,Stupid,Smart,Dull,Clumsy,B,Smart' means having or showing a quick-witted intelligence; synonymous with clever.
Vocabulary,Hard,A **'querulous'** person is known for:,Complaining,Laughing,Being silent,Being friendly,A,Querulous' means complaining in a petulant or whining manner.
Vocabulary,Medium,Find the synonym for **'ostentatious'**.,Simple,Modest,Showy,Humble,C,Ostentatious' means characterized by pretentious or showy display intended to impress others.
Vocabulary,Easy,What is the plural form of **'foot'**?,foots,feets,footies,feet,D,Feet' is the irregular plural form.
Vocabulary,Hard,What does **'fatuous'** mean?,Intelligent,Serious,Silly and pointless,Wise,C,Fatuous' means silly and pointless.
Vocabulary,Medium,The opposite of **'transient'** is:,Fleeting,Short-lived,Permanent,Moving,C,Transient' means lasting only for a short time; 'permanent' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'gift'**?,Present,Work,Task,Debt,A,Present' means a thing given as a gift.
Vocabulary,Medium,Find the synonym for **'paradox'**.,Simple truth,Contradiction,Agreement,Solution,B,A 'paradox' is a seemingly absurd or self-contradictory statement that when investigated or explained may prove to be well founded or true.
Vocabulary,Medium,The word **'fortuitous'** means:,Unlucky,Accidental,Planned,Unpleasant,B,"Fortuitous' means happening by accident or chance, typically resulting in a favorable outcome."
Vocabulary,Hard,What is the antonym of **'recalcitrant'**?,Obedient,Rebellious,Stubborn,Defiant,A,Recalcitrant' means having an uncooperative attitude; 'obedient' is the antonym.
Vocabulary,Easy,What is the noun form of the verb **'decide'**?,decisive,decided,decision,deciding,C,Decision' is the noun form.
Vocabulary,Medium,Find the synonym for **'innate'**.,Learned,Acquired,Inborn,External,C,Innate' means inborn or natural.
Vocabulary,Hard,What does **'perfunctory'** mean?,Thorough,Enthusiastic,Carried out with minimum effort,Deeply felt,C,Perfunctory' means carried out with a minimum of effort or reflection.
Vocabulary,Easy,The opposite of **'wet'** is:,Damp,Moist,Dry,Soggy,C,Dry' is the antonym of 'wet'.
Vocabulary,Medium,The word **'clandestine'** means:,Open,Secret,Loud,Honest,B,"Clandestine' means kept secret or done secretively, especially because illicit."
Vocabulary,Hard,Find the synonym for **'alacrity'**.,Slowness,Eagerness,Reluctance,Sadness,B,Alacrity' means brisk and cheerful readiness; synonymous with eagerness.
